,code,n_k_d,time_steps,error_model,decoder,error_probability,measurement_error_probability,n_run,n_success,n_fail,n_logical_commutations,custom_totals,error_weight_total,error_weight_pvar,logical_failure_rate,physical_error_rate,wall_time,n,k,d,bias,decoder_chi
1,XZZX,"[729, 1, 27]",1,"Biased-depolarizing (bias=50, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,3500,3405,95,48,,637638,137.31020048979593,0.027142857142857142,0.24990711346266903,7522.649129666388,729,1,27,50.0,12.0
0,XZZX,"[1089, 1, 33]",1,"Biased-depolarizing (bias=50, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,3500,3439,61,30,,953027,192.51304253061224,0.01742857142857143,0.25003987931260657,12179.250998143107,1089,1,33,50.0,12.0
1,XZZX,"[1089, 1, 33]",1,"Biased-depolarizing (bias=50, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,3500,3439,61,32,,953027,192.51304253061224,0.01742857142857143,0.25003987931260657,12179.250998143107,1089,1,33,50.0,12.0
0,XZZX,"[1521, 1, 39]",1,"Biased-depolarizing (bias=50, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,3500,3460,40,20,,1330308,292.1979702857143,0.011428571428571429,0.24989349112426038,18305.80911213532,1521,1,39,50.0,12.0
1,XZZX,"[1521, 1, 39]",1,"Biased-depolarizing (bias=50, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,3500,3460,40,20,,1330308,292.1979702857143,0.011428571428571429,0.24989349112426038,18305.80911213532,1521,1,39,50.0,12.0
0,XZZX,"[225, 1, 15]",1,"Biased-depolarizing (bias=100, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,957,43,33,,56091,38.192719,0.043,0.2492933333333333,424.7789838369936,225,1,15,100.0,12.0
1,XZZX,"[225, 1, 15]",1,"Biased-depolarizing (bias=100, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,957,43,10,,56091,38.192719,0.043,0.2492933333333333,424.7789838369936,225,1,15,100.0,12.0
0,XZZX,"[441, 1, 21]",1,"Biased-depolarizing (bias=100, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,978,22,15,,109882,85.984076,0.022,0.24916553287981857,1114.4873515665531,441,1,21,100.0,12.0
1,XZZX,"[441, 1, 21]",1,"Biased-depolarizing (bias=100, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,978,22,7,,109882,85.984076,0.022,0.24916553287981857,1114.4873515665531,441,1,21,100.0,12.0
0,XZZX,"[729, 1, 27]",1,"Biased-depolarizing (bias=100, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,986,14,9,,182642,134.739836,0.014,0.2505377229080933,2135.098239680752,729,1,27,100.0,12.0
1,XZZX,"[729, 1, 27]",1,"Biased-depolarizing (bias=100, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,986,14,5,,182642,134.739836,0.014,0.2505377229080933,2135.098239680752,729,1,27,100.0,12.0
0,XZZX,"[1089, 1, 33]",1,"Biased-depolarizing (bias=100, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,990,10,7,,272565,201.057775,0.01,0.25028925619834713,3485.946874892339,1089,1,33,100.0,12.0
1,XZZX,"[1089, 1, 33]",1,"Biased-depolarizing (bias=100, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,990,10,3,,272565,201.057775,0.01,0.25028925619834713,3485.946874892339,1089,1,33,100.0,12.0
0,XZZX,"[1521, 1, 39]",1,"Biased-depolarizing (bias=100, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,997,3,2,,380359,283.402119,0.003,0.2500716633793557,5209.133856454864,1521,1,39,100.0,12.0
1,XZZX,"[1521, 1, 39]",1,"Biased-depolarizing (bias=100, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,997,3,1,,380359,283.402119,0.003,0.2500716633793557,5209.133856454864,1521,1,39,100.0,12.0
0,XZZX,"[225, 1, 15]",1,"Biased-depolarizing (bias=50, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,3500,3282,218,143,,196742,42.680198857142855,0.062285714285714285,0.24983111111111111,1570.566769424826,225,1,15,50.0,12.0
1,XZZX,"[225, 1, 15]",1,"Biased-depolarizing (bias=50, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,3500,3282,218,79,,196742,42.680198857142855,0.062285714285714285,0.24983111111111111,1570.566769424826,225,1,15,50.0,12.0
0,XZZX,"[441, 1, 21]",1,"Biased-depolarizing (bias=50, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,3500,3338,162,109,,385544,83.79755624489796,0.046285714285714284,0.24978555231616453,4057.8691742587835,441,1,21,50.0,12.0
1,XZZX,"[441, 1, 21]",1,"Biased-depolarizing (bias=50, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,3500,3338,162,57,,385544,83.79755624489796,0.046285714285714284,0.24978555231616453,4057.8691742587835,441,1,21,50.0,12.0
0,XZZX,"[729, 1, 27]",1,"Biased-depolarizing (bias=50, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,3500,3410,90,54,,637263,135.66949640816327,0.025714285714285714,0.24976014109347444,7773.81137438491,729,1,27,50.0,12.0
1,XZZX,"[729, 1, 27]",1,"Biased-depolarizing (bias=50, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,3500,3410,90,38,,637263,135.66949640816327,0.025714285714285714,0.24976014109347444,7773.81137438491,729,1,27,50.0,12.0
0,XZZX,"[1089, 1, 33]",1,"Biased-depolarizing (bias=50, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,3500,3445,55,25,,953112,201.69505763265306,0.015714285714285715,0.2500621802439984,12669.517289316282,1089,1,33,50.0,12.0
